Серия номенклатуры;Номенклатура;Вес изделия;Вес металла в изделии;Дата выпуска;Описание вставки
SP0180859;Колье 33-02-1100-10130;13,4;12,656;19.11.2015 0:00:00;2 Бр кр17 2.00 3/4А 0.058ct, 2 Бр кр17 1.80 3/4А 0.044ct, 2 Бр кр17 1.60 3/4А 0.032ct, 6 Бр кр17 1.50 3/4А 0.078ct, 2 Бр кр17 1.40 3/4А 0.020ct, 4 Бр кр17 1.30 3/4А 0.032ct, 7 Бр кр17 1.20 3/4А 0.049ct, 5 Бр кр17 1.10 3/4А 0.025ct, 4 Бр кр17 1.00 3/4А 0.016ct, 1 Топаз груша 10.00*7.00 0.470, 1 Топаз груша 6.00*4.00 0.092, 1 Топаз круг 5.00 0.111
SP0181045;Колье 33-02-1100-10166;17,54;16,709;07.12.2015 0:00:00;1 Бр кр57 2.70 3/5А 0.073ct, 75 Бр кр17 1.00 2/3А 0.300ct, 7 Бр кр17 1.20 2/3А 0.049ct, 7 Бр кр17 1.40 2/3А 0.070ct, 2 Бр кр57 2.00 3/5А 0.058ct, 3 Бр кр57 1.60 3/5А 0.048ct, 1 Топаз груша 6.00*4.00 0.097, 1 Топаз овал 10.00*8.00 0.614
SP0178591;Колье 33-02-1200-10130;15,08;14,339;17.06.2015 0:00:00;4 Бр кр17 0.90 2/3А 0.016ct, 5 Бр кр17 1.10 2/3А 0.025ct, 7 Бр кр17 1.20 2/3А 0.049ct, 4 Бр кр17 1.30 2/3А 0.032ct, 2 Бр кр17 1.40 2/3А 0.020ct, 6 Бр кр17 1.50 2/3А 0.078ct, 2 Бр кр17 1.60 2/3А 0.032ct, 2 Бр кр17 1.80 2/3А 0.044ct, 2 Бр кр17 2.00 2/3А 0.058ct, 1 Гранат груша 6.00*4.00 0.103, 1 Гранат груша 10.00*7.00 0.444, 1 Гранат круг 5.00 0.123
SU5442774;Кольцо 20-00-4000-10419;1,89;1,851;18.06.2014 0:00:00;5 Сф кр 2.2 3/3 0.195ct,
SU3776324;Кольцо 20-00-6000-10137;3,81;3,764;18.05.2012 0:00:00;3 Рб кр 2.6 3/3 0.230ct,
SP0170086;Кольцо 20-02-1000-10029;3,71;3,701;20.11.2014 0:00:00;9 Бр кр57 1.1 3/5А 0.045ct
SP0182318;Кольцо 20-02-1000-10030;3,6;3,593;22.03.2016 0:00:00;7 Бр кр57 1.10 3/5А 0.035ct
SP0181904;Кольцо 20-02-1000-10032;2,3;2,292;27.01.2016 0:00:00;1 Бр кр17 1.65 2/2А 0.017ct, 3 Бр кр17 1.20 2/2А 0.021ct
SP0182021;Кольцо 20-02-1000-10063;2,08;2,074;15.02.2016 0:00:00;6 Бр кр17 1.10 2/3А 0.030ct,
SP0182076;Кольцо 20-02-1000-10106;3,17;3,154;24.02.2016 0:00:00;16 Бр кр17 1.10 2/3А 0.080ct
SP0137063;Кольцо 20-02-1000-10144;2,07;2,063;11.11.2014 0:00:00;3 Бр кр57 1.3 3/5А 0.024ct, 2 Бр кр57 1.1 3/5А 0.010ct,
SP0181392;Кольцо 20-02-1000-10146;1,8;1,79;22.12.2015 0:00:00;1 Бр кр57 2.40 3/5А 0.051ct
SP0174883;Кольцо 20-02-1000-10255;1,5;1,492;16.02.2015 0:00:00;2 Бр кр17 1.30 2/3А 0.016ct, 2 Бр кр17 1.20 2/3А 0.014ct, 1 Бр кр17 1.40 2/3А 0.010ct,
SP0181418;Кольцо 20-02-1000-10307;2,3;2,285;21.12.2015 0:00:00;19 Бр кр17 1.00 2/3А 0.076ct
SP0181414;Кольцо 20-02-1000-10308;1,55;1,543;21.12.2015 0:00:00;7 Бр кр17 1.10 2/3А 0.035ct
